epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0576,1.77196,10.3002,0.00663,0.00207,0.41892,0.06165,0.03263,1.61312,8.12918,0.00614,0.000656085,0.000656085,0.000656085
2,131.389,1.86704,6.69777,0.0074,0.65438,0.36459,0.48679,0.21309,1.9068,5.28959,0.0083,0.0011918,0.0011918,0.0011918
3,196.44,1.93942,4.59154,0.00823,0.55605,0.48311,0.46657,0.19453,2.03927,3.40701,0.00874,0.00159551,0.00159551,0.00159551
4,261.088,2.03943,3.29234,0.00941,0.57683,0.54392,0.54865,0.21579,2.06953,2.47228,0.01064,0.001406,0.001406,0.001406
5,325.804,1.9783,2.49491,0.00856,0.58943,0.63537,0.61794,0.27361,1.96136,1.90186,0.00878,0.001208,0.001208,0.001208
6,391.288,1.96979,1.97884,0.00858,0.65547,0.64189,0.67503,0.27658,2.04076,1.73131,0.00942,0.00101,0.00101,0.00101
7,457.453,1.88674,1.70993,0.0082,0.70152,0.64865,0.6917,0.33409,1.83348,1.55086,0.00765,0.000812,0.000812,0.000812
8,524.016,1.78811,1.52774,0.00699,0.65728,0.70608,0.69645,0.32746,1.80999,1.46734,0.00781,0.000614,0.000614,0.000614
9,589.9,1.75189,1.4155,0.00696,0.67993,0.65878,0.7082,0.34388,1.82498,1.4163,0.0078,0.000416,0.000416,0.000416
10,655.895,1.72867,1.32805,0.00648,0.6827,0.67568,0.71539,0.35023,1.82049,1.29467,0.00747,0.000218,0.000218,0.000218
