epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.039,2.70529,4.30382,0.00605,0.00817,0.22508,0.04289,0.0208,2.21396,4.59017,0.00567,0.000656085,0.000656085,0.000656085
2,279.127,2.4502,2.959,0.00498,0.65931,0.32002,0.37279,0.16856,2.13113,3.01301,0.00544,0.0011918,0.0011918,0.0011918
3,419.384,2.46994,2.52044,0.00497,0.54267,0.36656,0.37229,0.1647,2.2285,2.36163,0.00589,0.00159551,0.00159551,0.00159551
4,541.862,2.45556,2.18275,0.00487,0.58238,0.34819,0.35707,0.15773,2.25803,2.56766,0.00593,0.001406,0.001406,0.001406
5,654.577,2.41088,1.91723,0.0048,0.62463,0.4102,0.44574,0.2077,2.18958,1.71994,0.00593,0.001208,0.001208,0.001208
6,814.259,2.33739,1.79257,0.00477,0.67034,0.42593,0.47073,0.22509,2.11311,1.67875,0.00532,0.00101,0.00101,0.00101
7,1006.14,2.34746,1.67065,0.00456,0.66398,0.42352,0.48506,0.22923,2.10708,1.89573,0.00533,0.000812,0.000812,0.000812
8,1177.56,2.28815,1.55939,0.00434,0.6562,0.4644,0.51231,0.24278,2.09354,1.48869,0.00544,0.000614,0.000614,0.000614
9,1328.04,2.23875,1.49384,0.00417,0.70882,0.46486,0.52724,0.25524,2.0615,1.47576,0.00529,0.000416,0.000416,0.000416
10,1458.52,2.31259,1.45826,0.00419,0.67729,0.46853,0.52774,0.25788,2.03901,1.43181,0.00512,0.000218,0.000218,0.000218
