epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.172,2.73275,4.30715,0.00607,0.0089,0.24529,0.03599,0.01771,2.19338,4.53468,0.00569,0.000656085,0.000656085,0.000656085
2,230.871,2.51271,2.9652,0.0051,0.61074,0.3491,0.38927,0.17865,2.19907,2.91935,0.0058,0.0011918,0.0011918,0.0011918
3,408.735,2.4775,2.51694,0.00514,0.61864,0.35783,0.38951,0.18118,2.26954,2.38004,0.00637,0.00159551,0.00159551,0.00159551
4,532.396,2.41713,2.15266,0.00476,0.62396,0.41249,0.45356,0.21454,2.12138,1.95924,0.00551,0.001406,0.001406,0.001406
5,645.965,2.40028,1.89291,0.00478,0.65637,0.40928,0.45898,0.21509,2.14826,1.81276,0.00572,0.001208,0.001208,0.001208
6,811.245,2.41845,1.79686,0.00493,0.66989,0.43133,0.48357,0.23172,2.11543,1.58464,0.00561,0.00101,0.00101,0.00101
7,1001.96,2.45349,1.69316,0.00485,0.64627,0.45154,0.49528,0.23209,2.12319,1.61041,0.00553,0.000812,0.000812,0.000812
8,1169.89,2.28671,1.56657,0.00436,0.67451,0.4667,0.51274,0.25424,2.03527,1.46672,0.00519,0.000614,0.000614,0.000614
9,1346.37,2.23273,1.45827,0.00414,0.66574,0.48488,0.53069,0.25978,2.02202,1.43338,0.00508,0.000416,0.000416,0.000416
10,1470.18,2.26435,1.44492,0.00419,0.68274,0.48042,0.53024,0.25376,2.04379,1.4623,0.00506,0.000218,0.000218,0.000218
