epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.426,2.14047,1.2411,0.00386,0.69902,0.49607,0.54226,0.26379,2.08766,1.32913,0.0054,0.000656085,0.000656085,0.000656085
2,281.121,2.21645,1.28562,0.00422,0.70097,0.50345,0.54522,0.25307,2.14999,1.34169,0.00576,0.0011918,0.0011918,0.0011918
3,417.423,2.25574,1.33543,0.00436,0.70337,0.45981,0.5166,0.25106,2.14335,1.37324,0.00584,0.00159551,0.00159551,0.00159551
4,536.563,2.28499,1.3763,0.00429,0.70743,0.44873,0.498,0.23285,2.15797,1.76297,0.00552,0.001406,0.001406,0.001406
5,648.029,2.26587,1.35723,0.00432,0.73504,0.44051,0.50635,0.24211,2.1758,1.46018,0.0059,0.001208,0.001208,0.001208
6,810.345,2.21716,1.29548,0.00448,0.72025,0.46716,0.53513,0.26586,2.08386,1.28283,0.00557,0.00101,0.00101,0.00101
7,1001.53,2.25329,1.27886,0.00431,0.74233,0.48921,0.5538,0.26083,2.07713,1.31012,0.00523,0.000812,0.000812,0.000812
8,1172,2.20234,1.2421,0.00398,0.71008,0.5039,0.55943,0.27654,2.03047,1.33471,0.0051,0.000614,0.000614,0.000614
9,1321.24,2.13072,1.19539,0.00383,0.74902,0.51271,0.57896,0.28304,2.01544,1.24373,0.00504,0.000416,0.000416,0.000416
10,1451.82,2.19498,1.192,0.00382,0.75096,0.51034,0.57773,0.2809,2.03336,1.28511,0.005,0.000218,0.000218,0.000218
