epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.942,2.16244,1.20544,0.00386,0.74281,0.4922,0.56311,0.27866,2.06038,1.20401,0.00543,0.000656085,0.000656085,0.000656085
2,231.199,2.25168,1.26764,0.00422,0.7247,0.50544,0.5601,0.26751,2.06705,1.57391,0.00536,0.0011918,0.0011918,0.0011918
3,414.461,2.22268,1.32423,0.00436,0.70245,0.45016,0.4978,0.23475,2.24941,1.41146,0.00597,0.00159551,0.00159551,0.00159551
4,537.344,2.26026,1.30833,0.00418,0.70739,0.50436,0.55543,0.26973,2.06658,1.33748,0.00536,0.001406,0.001406,0.001406
5,652.843,2.26268,1.29164,0.0043,0.74126,0.48232,0.53978,0.25871,2.11135,1.27353,0.0055,0.001208,0.001208,0.001208
6,820.208,2.25686,1.26043,0.0044,0.74327,0.50023,0.55681,0.27479,2.04571,1.30409,0.00537,0.00101,0.00101,0.00101
7,1010.82,2.2568,1.24542,0.00429,0.74433,0.50023,0.5631,0.26937,2.07822,1.34178,0.00541,0.000812,0.000812,0.000812
8,1178.74,2.143,1.21028,0.00396,0.74294,0.51111,0.57365,0.28403,2.00262,1.20881,0.00502,0.000614,0.000614,0.000614
9,1354.95,2.10665,1.14251,0.00376,0.75756,0.51768,0.58166,0.29515,1.99034,1.17673,0.00504,0.000416,0.000416,0.000416
10,1478.89,2.12534,1.14126,0.00374,0.75625,0.52302,0.58398,0.29078,1.99609,1.23473,0.00487,0.000218,0.000218,0.000218
