epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.091,2.25838,1.46565,0.00424,0.6879,0.45843,0.50958,0.24493,2.10515,1.4808,0.00536,0.000656085,0.000656085,0.000656085
2,273.461,2.2861,1.54141,0.00445,0.68137,0.43133,0.48013,0.22449,2.16005,1.52043,0.0056,0.0011918,0.0011918,0.0011918
3,410.661,2.36722,1.59128,0.00468,0.67228,0.4373,0.48003,0.22272,2.20574,1.47322,0.00594,0.00159551,0.00159551,0.00159551
4,533.02,2.37741,1.57777,0.00465,0.64429,0.4373,0.47094,0.22705,2.17292,1.56866,0.00584,0.001406,0.001406,0.001406
5,643.998,2.35444,1.49134,0.00455,0.66087,0.46808,0.50388,0.23473,2.12521,1.47375,0.00556,0.001208,0.001208,0.001208
6,804.726,2.27413,1.4493,0.00459,0.68862,0.45338,0.51324,0.24577,2.12398,1.3651,0.00558,0.00101,0.00101,0.00101
7,995.078,2.27226,1.4142,0.00437,0.6882,0.47267,0.52355,0.24159,2.12528,1.76448,0.00556,0.000812,0.000812,0.000812
8,1164.61,2.23778,1.35427,0.00414,0.6882,0.49931,0.54285,0.27035,2.05086,1.35475,0.00524,0.000614,0.000614,0.000614
9,1313.42,2.17236,1.27164,0.00397,0.71012,0.51539,0.56641,0.27575,2.04874,1.2367,0.00529,0.000416,0.000416,0.000416
10,1442.81,2.24798,1.25893,0.004,0.72586,0.51447,0.56893,0.27686,2.04494,1.27628,0.00519,0.000218,0.000218,0.000218
